UNITID,LEXP100K,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,LILSYN,XLSTOTAL,LSTOTAL,XLSLIBRN,LSLIBRN,XLSOPROF,LSOPROF,XLSOPAID,LSOPAID,XLSSTAST,LSSTAST,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
232557,1 ,2,"R",342687,"R",895928,"R",417,"R",180383,"R",249626,"R",2999,"R",180424,"R",526069,"R",1326395,"R",1852464,"R",44074,"R",10762886,"R",10806960,1,"R",9024,"R",4273,1,"R",142.80,"R",32.60,"R",7.00,"R",49.00,"R",54.20,"R",3,"R",3842519,1,"R",1249178,"R",1496498,"R",3830091,"R",159094,"R",5485683,"R",4311,"R",834417,"R",838728,"R",11416108,10166930
232566,1 ,2,"R",218458,"R",337282,"R",276,"R",11788,"R",46062,"R",2751,"R",581,"R",232997,"R",384201,"R",617198,"R",15111,"R",22864,"R",37975,1,"R",1382,"R",1783,1,"R",26.00,"R",7.00,"R",0.00,"R",17.00,"R",2.00,"R",0,"R",1160535,1,"R",486090,"R",54797,"R",527586,"R",2037,"R",584420,"R",0,"R",307919,"R",307919,"R",2538964,2052874
232575,1 ,2,"R",67870,"R",772681,"R",149,"R",6315,"R",48557,"R",48,"R",81254,"R",74233,"R",902641,"R",976874,"R",6306,"R",154342,"R",160648,1,"R",614,"R",166,1,"R",8.00,"R",3.00,"R",5.00,"R",0.00,"R",0.00,"R",1,"R",388533,1,"R",181334,"R",52594,"R",61986,"R",16737,"R",131317,"R",470,"R",19924,"R",20394,"R",721578,540244
232609,1 ,2,"R",121920,"R",834242,"R",106,"R",6851,"R",57518,"R",15,"R",136494,"R",128786,"R",1028360,"R",1157146,"R",4920,"R",186926,"R",191846,1,"R",511,"R",1535,1,"R",16.70,"R",6.00,"R",3.00,"R",1.00,"R",6.70,"R",0,"R",460107,2,"Z",0,"R",19499,"R",369731,"R",6350,"R",395580,"R",0,"R",86128,"R",86128,"R",941815,941815
232672,1 ,2,"R",95874,"R",626665,"R",100,"R",2438,"R",42402,"R",138,"R",83081,"R",98450,"R",752248,"R",850698,"R",5709,"R",111705,"R",117414,1,"R",1110,"R",2326,1,"R",8.80,"R",3.80,"R",2.00,"R",0.00,"R",3.00,"R",0,"R",276287,1,"R",15962,"R",5215,"R",161142,"R",0,"R",166357,"R",3432,"R",43028,"R",46460,"R",505066,489104
232681,1 ,2,"R",288372,"R",416408,"R",198,"R",31195,"R",51064,"R",4394,"R",125021,"R",323961,"R",592691,"R",916652,"R",11289,"R",349313,"R",360602,1,"R",4351,"R",2721,1,"R",32.50,"R",12.00,"R",0.00,"R",11.00,"R",9.50,"R",0,"R",1214035,1,"R",487466,"R",90113,"R",354992,"R",0,"R",445105,"R",2880,"R",292924,"R",295804,"R",2442410,1954944
232706,1 ,2,"R",174270,"R",615952,"R",252,"R",2482,"R",41968,"R",1137,"R",130882,"R",177889,"R",789054,"R",966943,"R",14875,"R",280067,"R",294942,1,"R",1205,"R",963,1,"R",30.70,"R",10.20,"R",1.00,"R",10.50,"R",9.00,"R",1,"R",1402074,1,"R",319480,"R",32348,"R",759345,"R",9658,"R",801351,"R",173,"R",366791,"R",366964,"R",2889869,2570389
232788,1 ,2,"R",43671,"R",100115,"R",19,"R",5218,"R",604622,"R",198,"R",608515,"R",49087,"R",1313271,"R",1362358,"R",360,"R",3218,"R",3578,1,"R",3,"R",1,1,"R",4.18,"R",1.00,"R",0.00,"R",3.18,"R",0.00,"R",0,"R",142453,1,"R",46724,"R",33522,"R",29093,"R",480,"R",63095,"R",4849,"R",3820,"R",8669,"R",260941,214217
232797,2 ,2,"R",37242,"R",386343,"R",124,"R",2590,"R",2,"R",27,"R",0,"R",39859,"R",386469,"R",426328,"R",0,"R",1188,"R",1188,2,"A",,"A",,1,"R",1.00,"R",0.00,"R",1.00,"R",0.00,"R",0.00,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
232867,1 ,2,"R",29167,"R",358955,"R",108,"R",994,"R",48557,"R",214,"R",82546,"R",30375,"R",490166,"R",520541,"R",1179,"R",47308,"R",48487,1,"R",75,"R",59,1,"R",4.88,"R",1.63,"R",0.00,"R",3.25,"R",0.00,"R",0,"R",226243,1,"R",42208,"R",26215,"R",64015,"R",3726,"R",93956,"R",2757,"R",12128,"R",14885,"R",377292,335084
232885,1 ,2,"R",1843,"R",630,"R",28,"R",241,"R",0,"R",230,"R",25612,"R",2314,"R",26270,"R",28584,"R",136,"R",17746,"R",17882,1,"R",2286,"R",1646,1,"R",4.50,"R",3.00,"R",0.00,"R",1.50,"R",0.00,"R",1,"R",253410,2,"Z",0,"R",76226,"R",1028618,"R",0,"R",1104844,"R",0,"R",13984,"R",13984,"R",1372238,1372238
232937,1 ,2,"R",299153,"R",202540,"R",215,"R",7999,"R",61563,"R",3224,"R",425,"R",310376,"R",264743,"R",575119,"R",2835,"R",1871,"R",4706,1,"R",1235,"R",386,1,"R",3.00,"R",1.00,"R",2.00,"R",0.00,"R",0.00,"R",1,"R",434299,1,"R",272964,"R",0,"R",697116,"R",48432,"R",745548,"R",6005,"R",0,"R",6005,"R",1458816,1185852
232946,1 ,2,"R",152531,"R",387429,"R",204,"R",13254,"R",121639,"R",871,"R",108662,"R",166656,"R",617934,"R",784590,"R",26754,"R",1535831,"R",1562585,1,"R",1397,"R",291,1,"R",73.00,"R",20.00,"R",3.00,"R",31.00,"R",19.00,"R",6,"R",2460347,2,"Z",0,"R",396929,"R",690737,"R",0,"R",1087666,"R",0,"R",45267,"R",45267,"R",3593280,3593280
232982,1 ,2,"R",1064931,"R",1490792,"R",422,"R",162987,"R",225752,"R",16702,"R",130557,"R",1244620,"R",1847523,"R",3092143,"R",20634,"R",1253263,"R",1273897,1,"R",4161,"R",6549,1,"R",96.50,"R",19.50,"R",3.00,"R",49.50,"R",24.50,"R",2,"R",3107551,1,"R",1229344,"R",430701,"R",3478086,"R",162081,"R",4070868,"R",6622,"R",615745,"R",622367,"R",9030130,7800786
233019,1 ,2,"R",25579,"R",597503,"R",159,"R",1014,"R",48557,"R",4,"R",73509,"R",26597,"R",719728,"R",746325,"R",592,"R",28671,"R",29263,1,"R",313,"R",23,1,"R",3.00,"R",1.00,"R",1.00,"R",1.00,"R",0.00,"R",0,"R",136024,1,"R",56281,"R",5506,"R",46377,"R",2751,"R",54634,"R",628,"R",5894,"R",6522,"R",253461,197180
233037,1 ,2,"R",13106,"R",369742,"R",147,"R",52,"R",48557,"R",39,"R",80700,"R",13197,"R",499146,"R",512343,"R",161,"R",21663,"R",21824,1,"R",18,"R",67,1,"R",5.40,"R",2.45,"R",0.00,"R",2.45,"R",0.50,"R",1,"R",135527,1,"R",57962,"R",31,"R",3113,"R",0,"R",3144,"R",0,"R",4005,"R",4005,"R",200638,142676
233082,2 ,2,"R",201,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",201,"R",1,"R",202,"R",150,"R",175,"R",325,1,"R",95,"R",20,1,"R",0.50,"R",0.50,"R",0.00,"R",0.00,"R",0.00,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
233116,1 ,2,"R",20583,"R",380455,"R",137,"R",247,"R",48620,"R",8,"R",105093,"R",20838,"R",534305,"R",555143,"R",2936,"R",90847,"R",93783,1,"R",683,"R",117,1,"R",7.00,"R",4.00,"R",1.00,"R",2.00,"R",0.00,"R",0,"R",315702,1,"R",113980,"R",39562,"R",30294,"R",11000,"R",80856,"R",0,"R",10337,"R",10337,"R",520875,406895
233277,1 ,2,"R",259924,"R",2642936,"R",354,"R",14848,"R",175824,"R",1629,"R",47370,"R",276401,"R",2866484,"R",3142885,"R",8008,"R",24898,"R",32906,1,"R",4783,"R",5971,1,"R",36.80,"R",19.00,"R",0.00,"R",15.00,"R",2.80,"R",1,"R",1583913,1,"R",709652,"R",124558,"R",1192671,"R",41689,"R",1358918,"R",3762,"R",307668,"R",311430,"R",3963913,3254261
233295,1 ,2,"R",138726,"R",478366,"R",193,"R",74378,"R",57432,"R",422,"R",173688,"R",213526,"R",709679,"R",923205,"R",2535,"R",92370,"R",94905,1,"R",468,"R",1199,1,"R",15.61,"R",4.00,"R",1.00,"R",6.00,"R",4.61,"R",0,"R",606265,2,"Z",0,"R",105768,"R",255834,"R",7795,"R",369397,"R",792,"R",130519,"R",131311,"R",1106973,1106973
233301,1 ,2,"R",134365,"R",642477,"R",110,"R",2352,"R",75527,"R",1140,"R",181040,"R",137857,"R",899154,"R",1037011,"R",3865,"R",1241,"R",5106,1,"R",614,"R",457,1,"R",10.00,"R",3.00,"R",0.00,"R",4.00,"R",3.00,"R",0,"R",338830,2,"Z",0,"R",9120,"R",177475,"R",0,"R",186595,"R",0,"R",76825,"R",76825,"R",602250,602250
233310,1 ,2,"R",24374,"R",366952,"R",165,"R",5087,"R",48557,"R",0,"R",73508,"R",29461,"R",489182,"R",518643,"R",11232,"R",40093,"R",51325,1,"R",317,"R",562,1,"R",10.20,"R",1.00,"R",0.00,"R",8.00,"R",1.20,"R",0,"R",208252,1,"R",81051,"R",21190,"R",6502,"R",0,"R",27692,"R",0,"R",8589,"R",8589,"R",325584,244533
233329,2 ,2,"R",1141,"R",279788,"R",111,"R",420,"R",0,"R",0,"R",0,"R",1561,"R",279899,"R",281460,"R",35,"R",35,"R",70,2,"A",,"A",,2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
233338,1 ,2,"R",31111,"R",68491,"R",95,"R",3775,"R",0,"R",21,"R",0,"R",34907,"R",68586,"R",103493,"R",2729,"R",221,"R",2950,1,"R",21,"R",123,1,"R",13.00,"R",4.00,"R",0.00,"R",0.00,"R",9.00,"R",0,"R",216921,1,"R",103980,"R",2882,"R",24761,"R",0,"R",27643,"R",0,"R",22956,"R",22956,"R",371500,267520
233356,1 ,2,"R",668,"R",4893,"R",20,"R",11,"R",42,"R",7,"R",369,"R",686,"R",5324,"R",6010,"R",655,"R",7230,"R",7885,1,"R",19,"R",50,1,"R",2.00,"R",1.00,"R",0.00,"R",0.00,"R",1.00,"R",0,"R",56912,2,"Z",0,"R",11097,"R",58186,"R",0,"R",69283,"R",0,"R",119,"R",119,"R",126314,126314
233374,1 ,2,"R",555259,"R",1319087,"R",694,"R",23160,"R",143095,"R",4284,"R",154344,"R",582703,"R",1617220,"R",2199923,"R",46793,"R",126419,"R",173212,1,"R",4931,"R",3449,1,"R",45.75,"R",21.00,"R",11.00,"R",8.00,"R",5.75,"R",2,"R",3883641,2,"Z",0,"R",3681923,"R",1898945,"R",54825,"R",5635693,"R",8302,"R",731619,"R",739921,"R",10259255,10259255
233408,1 ,2,"R",6798,"R",133,"R",18,"R",70,"R",0,"R",120,"R",0,"R",6988,"R",151,"R",7139,"R",150,"R",4126,"R",4276,1,"R",143,"R",127,1,"R",2.20,"R",1.00,"R",1.00,"R",0.20,"R",0.00,"R",0,"R",88960,1,"R",7792,"R",3200,"R",130730,"R",0,"R",133930,"R",0,"R",6000,"R",6000,"R",236682,228890
233426,1 ,2,"R",150368,"R",277409,"R",228,"R",6174,"R",973473,"R",3057,"R",117111,"R",159599,"R",1368221,"R",1527820,"R",8000,"R",107206,"R",115206,1,"R",999,"R",3444,1,"R",13.60,"R",5.60,"R",0.00,"R",4.00,"R",4.00,"R",0,"R",562356,1,"R",171879,"R",38992,"R",345090,"R",43788,"R",427870,"R",1381,"R",79162,"R",80543,"R",1242648,1070769
233541,1 ,2,"R",89741,"R",427430,"R",138,"R",8518,"R",148239,"R",1242,"R",74146,"R",99501,"R",649953,"R",749454,"R",2810,"R",36628,"R",39438,1,"R",614,"R",2158,1,"R",19.00,"R",3.50,"R",0.00,"R",4.50,"R",11.00,"R",2,"R",352268,2,"Z",0,"R",7167,"R",620647,"R",332,"R",628146,"R",0,"R",77072,"R",77072,"R",1057486,1057486
233602,2 ,2,"R",9720,"R",0,"R",117,"R",452,"R",0,"R",0,"R",0,"R",10172,"R",117,"R",10289,"R",586,"R",0,"R",586,2,"A",,"A",,1,"R",6.00,"R",1.00,"R",0.00,"R",0.00,"R",5.00,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
233611,1 ,2,"R",73559,"R",447144,"R",91,"R",11010,"R",0,"R",40,"R",51322,"R",84609,"R",498557,"R",583166,"R",3664,"R",14536,"R",18200,1,"R",235,"R",342,1,"R",18.00,"R",3.00,"R",2.00,"R",0.00,"R",13.00,"R",0,"R",135196,2,"Z",0,"R",898,"R",36687,"R",19116,"R",56701,"R",149,"R",9638,"R",9787,"R",201684,201684
233639,1 ,2,"R",24546,"R",2015,"R",146,"R",3418,"R",248557,"R",127,"R",73508,"R",28091,"R",324226,"R",352317,"R",2695,"R",8238,"R",10933,1,"R",232,"R",160,1,"R",8.00,"R",2.00,"R",2.00,"R",4.00,"R",0.00,"R",2,"R",185692,1,"R",71660,"R",8204,"R",9690,"R",0,"R",17894,"R",0,"R",1000,"R",1000,"R",276246,204586
233648,1 ,2,"R",41350,"R",376637,"R",75,"R",3462,"R",48557,"R",150,"R",73508,"R",44962,"R",498777,"R",543739,"R",1052,"R",31064,"R",32116,1,"R",158,"R",9,1,"R",5.83,"R",1.00,"R",0.00,"R",3.63,"R",1.20,"R",0,"R",152168,2,"Z",0,"R",7109,"R",36396,"R",540,"R",44045,"R",0,"R",8668,"R",8668,"R",204881,204881
233718,1 ,2,"R",185079,"R",235505,"R",184,"R",4194,"R",121918,"R",1326,"R",35075,"R",190599,"R",392682,"R",583281,"R",2163,"R",9771,"R",11934,1,"R",452,"R",371,1,"R",21.00,"R",1.00,"R",0.00,"R",5.00,"R",15.00,"R",0,"R",289983,1,"R",61847,"R",19880,"R",134028,"R",0,"R",153908,"R",1196,"R",70585,"R",71781,"R",577519,515672
233754,1 ,2,"R",42172,"R",357483,"R",131,"R",2835,"R",49589,"R",85,"R",82021,"R",45092,"R",489224,"R",534316,"R",2262,"R",119979,"R",122241,1,"R",222,"R",59,1,"R",11.25,"R",2.75,"R",0.00,"R",4.50,"R",4.00,"R",1,"R",657982,1,"R",257608,"R",1000,"R",84774,"R",428,"R",86202,"R",5416,"R",43825,"R",49241,"R",1051033,793425
233772,1 ,2,"R",133557,"R",354747,"R",194,"R",10772,"R",124767,"R",310,"R",80620,"R",144639,"R",560328,"R",704967,"R",13075,"R",378924,"R",391999,1,"R",1110,"R",242,1,"R",43.22,"R",15.00,"R",0.00,"R",25.01,"R",3.21,"R",5,"R",1695725,1,"R",616495,"R",132361,"R",242261,"R",3372,"R",377994,"R",0,"R",172681,"R",172681,"R",2862895,2246400
233842,1 ,2,"R",343119,"R",83531,"R",71,"R",28679,"R",51501,"R",349,"R",32342,"R",372147,"R",167445,"R",539592,"R",14276,"R",22762,"R",37038,1,"R",1316,"R",215,1,"R",18.00,"R",6.00,"R",0.00,"R",7.00,"R",5.00,"R",1,"R",765866,1,"R",211155,"R",121878,"R",125886,"R",0,"R",247764,"R",11370,"R",103826,"R",115196,"R",1339981,1128826
233897,1 ,2,"R",102996,"R",198147,"R",133,"R",11276,"R",0,"R",618,"R",2949,"R",114890,"R",201229,"R",316119,"R",1917,"R",9663,"R",11580,1,"R",307,"R",228,1,"R",13.50,"R",4.00,"R",0.00,"R",7.50,"R",2.00,"R",0,"R",583165,1,"R",181279,"R",12017,"R",110119,"R",44462,"R",166598,"R",3388,"R",76390,"R",79778,"R",1010820,829541
233903,1 ,2,"R",22975,"R",354183,"R",134,"R",1270,"R",38557,"R",119,"R",93508,"R",24364,"R",486382,"R",510746,"R",503,"R",22674,"R",23177,1,"R",6,"R",2,1,"R",5.00,"R",1.00,"R",2.00,"R",0.00,"R",2.00,"R",0,"R",130627,2,"Z",0,"R",10008,"R",9498,"R",2800,"R",22306,"R",0,"R",4020,"R",4020,"R",156953,156953
233921,1 ,2,"R",1211347,"R",1776539,"R",740,"R",31853,"R",94408,"R",38569,"R",493221,"R",1281769,"R",2364908,"R",3646677,"R",55110,"R",6941915,"R",6997025,1,"R",10690,"R",17216,1,"R",174.00,"R",95.00,"R",60.00,"R",12.00,"R",7.00,"R",7,"R",10217548,2,"R",0,"R",1431718,"R",8823935,"R",1008498,"R",11264151,"R",0,"R",3260366,"R",3260366,"R",24742065,24742065
233949,1 ,2,"R",19901,"R",347888,"R",120,"R",359,"R",48557,"R",62,"R",73508,"R",20322,"R",470073,"R",490395,"R",1825,"R",73781,"R",75606,1,"R",121,"R",68,1,"R",8.00,"R",3.73,"R",0.00,"R",2.64,"R",1.63,"R",0,"R",403525,1,"R",169591,"R",22177,"R",4575,"R",1554,"R",28306,"R",80,"R",6290,"R",6370,"R",607792,438201
234030,1 ,2,"R",1354505,"R",1326349,"R",513,"R",96652,"R",255191,"R",30215,"R",172593,"R",1481372,"R",1754646,"R",3236018,"R",34599,"R",2035848,"R",2070447,1,"R",15451,"R",7881,1,"R",178.83,"R",61.00,"R",10.00,"R",79.56,"R",28.27,"R",3,"R",8907470,1,"R",2997261,"R",1818743,"R",10702291,"R",820330,"R",13341364,"R",42945,"R",2384355,"R",2427300,"R",27673395,24676134
234076,1 ,2,"R",3483646,"R",1179226,"R",1456,"R",543365,"R",125397,"R",122045,"R",395645,"R",4149056,"R",1701724,"R",5850780,"R",132636,"R",3562995,"R",3695631,1,"R",18470,"R",31761,1,"R",332.00,"R",67.00,"R",110.00,"R",103.00,"R",52.00,"R",12,"R",22089971,1,"R",7568466,"R",2681070,"R",12579641,"R",323529,"R",15584240,"R",131000,"R",6938818,"R",7069818,"R",52312495,44744029
