UNITID,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
161217,2,"R",57176,"R",246721,"R",119,"R",1887,"R",100287,"R",120,"R",74226,"R",59183,"R",421353,"R",480536,"R",3549,"R",13404,"R",16953,1,"R",0,"R",510,"R",1,"R",259373,1,"R",156579,"R",11498,"R",180309,"R",9082,"R",200889,"R",0,"R",31323,"R",31323,"R",648164,491585
161226,2,"R",54269,"R",320169,"R",188,"R",4150,"R",0,"R",145,"R",78701,"R",58564,"R",399058,"R",457622,"R",18568,"R",8253,"R",26821,1,"R",1326,"R",4524,"R",1,"R",304518,1,"R",160213,"R",97182,"R",9638,"R",4524,"R",111344,"R",1000,"R",34176,"R",35176,"R",611251,451038
161235,2,"R",36000,"R",7131,"R",194,"R",23340,"R",3701,"R",245,"R",62619,"R",59585,"R",73645,"R",133230,"R",3721,"R",735,"R",4456,1,"R",934,"R",1073,"R",0,"R",176331,1,"R",77237,"R",1406,"R",44104,"R",6094,"R",51604,"R",0,"R",12877,"R",12877,"R",318049,240812
161244,2,"R",60441,"R",214258,"R",188,"R",1921,"R",29884,"R",113,"R",54102,"R",62475,"R",298432,"R",360907,"R",3557,"R",9237,"R",12794,1,"R",778,"R",993,"R",0,"R",117256,1,"R",59799,"R",22589,"R",49578,"R",416,"R",72583,"R",0,"R",3248,"R",3248,"R",252886,193087
161253,2,"R",3645643,"R",1060758,"R",364,"R",1687925,"R",191730,"R",66214,"R",142082,"R",5399782,"R",1394934,"R",6794716,"R",24491,"R",368597,"R",393088,1,"R",14454,"R",5017,"R",1,"R",2302594,1,"R",1144675,"R",234506,"R",5853908,"R",50003,"R",6138417,"R",55473,"R",423522,"R",478995,"R",10064681,8920006
161299,2,"R",80721,"R",191011,"R",67,"R",2209,"R",130765,"R",1191,"R",26023,"R",84121,"R",347866,"R",431987,"R",5345,"R",633,"R",5978,1,"R",579,"R",414,"R",0,"R",218076,1,"R",76375,"R",36440,"R",112583,"R",56888,"R",205911,"R",0,"R",5,"R",5,"R",500367,423992
161341,2,"R",63527,"R",159418,"R",153,"R",3361,"R",23192,"R",8,"R",75843,"R",66896,"R",258606,"R",325502,"R",1511,"R",1962,"R",3473,1,"R",752,"R",639,"R",0,"R",101103,1,"R",45159,"R",1726,"R",35146,"R",1115,"R",37987,"R",787,"R",3682,"R",4469,"R",188718,143559
161457,2,"R",64192,"R",1213604,"R",259,"R",1652,"R",53822,"R",609,"R",134227,"R",66453,"R",1401912,"R",1468365,"R",27897,"R",343873,"R",371770,1,"R",2679,"R",1996,"R",1,"R",1118888,1,"R",335667,"R",41365,"R",2048967,"R",0,"R",2090332,"R",3400,"R",338988,"R",342388,"R",3887275,3551608
161484,2,"R",8896,"R",160000,"R",6,"R",80,"R",27000,"R",10,"R",1100,"R",8986,"R",188106,"R",197092,"R",786,"R",10100,"R",10886,1,"R",645,"R",182,"R",0,"R",66049,1,"R",24288,"R",9000,"R",41030,"R",2000,"R",52030,"R",1000,"R",2000,"R",3000,"R",145367,121079
161509,2,"R",42667,"R",22,"R",7,"R",870,"R",0,"R",201,"R",286,"R",43738,"R",315,"R",44053,"R",7651,"R",6905,"R",14556,1,"R",2192,"R",512,"R",0,"R",99630,2,"Z",0,"R",9792,"R",21116,"R",5943,"R",36851,"R",635,"R",14525,"R",15160,"R",151641,151641
