UNITID,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
207500,2,"R",4158912,"R",1314587,"R",311,"R",3635482,"R",5018,"R",71289,"R",128934,"R",7865683,"R",1448850,"R",9314533,"R",77473,"R",665728,"R",743201,1,"R",42492,"R",20715,"R",4,"R",6678988,2,"Z",0,"R",1279751,"R",8623123,"R",802524,"R",10705398,"R",0,"R",2465024,"R",2465024,"R",19849410,19849410
207564,2,"R",10985,"R",130168,"Z",0,"R",1605,"R",52198,"R",149,"R",70987,"R",12739,"R",253353,"R",266092,"R",5632,"R",10129,"R",15761,1,"R",126,"R",342,"R",0,"R",151589,1,"R",57521,"R",8652,"R",125416,"R",5187,"R",139255,"R",0,"R",97578,"R",97578,"R",445943,388422
207582,2,"R",231747,"R",192662,"R",142,"R",36799,"R",17,"R",4658,"R",41773,"R",273204,"R",234594,"R",507798,"R",14690,"R",211908,"R",226598,1,"R",1954,"R",964,"R",0,"R",923700,2,"Z",0,"R",26983,"R",349585,"R",400,"R",376968,"R",2571,"R",123684,"R",126255,"R",1426923,1426923
207625,2,"R",284,"R",14357,"R",56,"R",28,"R",3077877,"R",7,"R",44826,"R",319,"R",3137116,"R",3137435,"R",21,"R",427,"R",448,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
207661,2,"R",80238,"R",314008,"R",79,"R",3619,"R",0,"R",488,"R",58194,"R",84345,"R",372281,"R",456626,"R",8102,"R",22074,"R",30176,1,"R",1117,"R",509,"R",1,"R",367760,1,"R",149120,"R",78038,"R",207438,"R",6789,"R",292265,"R",440,"R",90895,"R",91335,"R",900480,751360
207670,2,"R",13663,"R",50249,"R",156,"R",1812,"R",27448,"R",12560,"R",11915,"R",28035,"R",89768,"R",117803,"R",1936,"R",924,"R",2860,1,"R",57,"R",87,"R",0,"R",797923,1,"R",245141,"R",153582,"R",63024,"R",145,"R",216751,"R",0,"R",30000,"R",30000,"R",1289815,1044674
207722,2,"R",58541,"R",2374,"R",41,"R",3835,"R",110000,"R",22,"R",77710,"R",62398,"R",190125,"R",252523,"R",1452,"R",2136600,"R",2138052,1,"R",91,"R",702,"R",0,"R",123000,2,"Z",0,"R",1300,"R",66362,"R",8000,"R",75662,"R",1100,"R",19338,"R",20438,"R",219100,219100
207740,2,"R",29131,"Z",0,"R",31,"R",50,"Z",0,"R",41,"Z",0,"R",29222,"R",31,"R",29253,"R",40,"R",21,"R",61,1,"R",0,"R",1,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
207847,2,"R",192351,"R",17845,"R",108,"R",193716,"R",530,"R",83,"R",2534,"R",386150,"R",21017,"R",407167,"R",6504,"R",1120,"R",7624,1,"R",622,"R",207,"R",1,"R",374537,1,"R",131088,"R",25339,"R",300598,"R",605,"R",326542,"R",630,"R",61689,"R",62319,"R",894486,763398
207856,2,"R",13978,"R",138863,"R",21,"R",0,"R",0,"R",0,"R",0,"R",13978,"R",138884,"R",152862,"R",571,"R",36129,"R",36700,1,"R",0,"R",5,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
207865,2,"R",304356,"R",466504,"R",104,"R",4640,"R",12900467,"R",100,"R",128162,"R",309096,"R",13495237,"R",13804333,"R",10316,"R",587375,"R",597691,1,"R",1060,"R",1086,"R",1,"R",619237,1,"R",258299,"R",84935,"R",444495,"R",6950,"R",536380,"R",538,"R",157570,"R",158108,"R",1572024,1313725
207935,2,"R",51136,"R",11458,"R",49,"R",1908,"R",940,"R",168,"R",30028,"R",53212,"R",42475,"R",95687,"R",23115,"R",304055,"R",327170,1,"R",502,"R",1425,"R",4,"R",1350149,1,"R",495131,"R",60500,"R",262289,"R",0,"R",322789,"R",2702,"R",64445,"R",67147,"R",2235216,1740085
