id,run_id,dyad_id,model_id,score,last_updated_date
5125,41,2647,3,1.0,1/25/2024 9:10:16 AM
5135,41,2653,1,3.0,1/25/2024 9:10:16 AM
5136,41,2653,3,0.998,1/25/2024 9:10:16 AM
5144,41,2657,1,2.0,1/25/2024 9:10:16 AM
5149,41,2661,1,1.0,1/25/2024 9:10:16 AM
5150,41,2661,4,0.412,1/25/2024 9:10:16 AM
5151,41,2662,1,3.0,1/25/2024 9:10:16 AM
5152,41,2662,2,1.0,1/25/2024 9:10:16 AM
5153,41,2662,3,0.996,1/25/2024 9:10:16 AM
5154,41,2663,2,1.0,1/25/2024 9:10:16 AM
5155,41,2663,4,1.0,1/25/2024 9:10:16 AM
5156,41,2663,1,1.0,1/25/2024 9:10:16 AM
5157,41,2663,3,0.996,1/25/2024 9:10:16 AM
5158,41,2664,1,3.0,1/25/2024 9:10:16 AM
5159,41,2664,2,1.0,1/25/2024 9:10:16 AM
5160,41,2664,4,1.0,1/25/2024 9:10:16 AM
5161,41,2664,3,0.997,1/25/2024 9:10:16 AM
5162,41,2665,1,3.0,1/25/2024 9:10:16 AM
5163,41,2665,2,1.0,1/25/2024 9:10:16 AM
5164,41,2665,3,1.0,1/25/2024 9:10:16 AM
5165,41,2666,1,3.0,1/25/2024 9:10:16 AM
5166,41,2666,3,0.996,1/25/2024 9:10:16 AM
5167,41,2667,1,2.0,1/25/2024 9:10:16 AM
5168,41,2667,4,1.0,1/25/2024 9:10:16 AM
5169,41,2667,3,0.996,1/25/2024 9:10:16 AM
5172,41,2670,1,4.0,1/25/2024 9:10:16 AM
5173,41,2670,4,1.0,1/25/2024 9:10:16 AM
5176,41,2672,2,1.0,1/25/2024 9:10:16 AM
5177,41,2672,4,1.0,1/25/2024 9:10:16 AM
5178,41,2672,1,1.0,1/25/2024 9:10:16 AM
5179,41,2672,3,0.996,1/25/2024 9:10:16 AM
5180,41,2673,1,4.0,1/25/2024 9:10:16 AM
5181,41,2673,2,1.0,1/25/2024 9:10:16 AM
5182,41,2673,3,0.997,1/25/2024 9:10:16 AM
5183,41,2674,4,1.0,1/25/2024 9:10:16 AM
5184,41,2674,1,1.0,1/25/2024 9:10:16 AM
5185,41,2674,3,0.996,1/25/2024 9:10:16 AM
5186,41,2675,4,1.0,1/25/2024 9:10:16 AM
5187,41,2675,1,1.0,1/25/2024 9:10:16 AM
5188,41,2675,2,1.0,1/25/2024 9:10:16 AM
5189,41,2675,3,0.996,1/25/2024 9:10:16 AM
5190,41,2676,1,4.0,1/25/2024 9:10:16 AM
5191,41,2677,1,3.0,1/25/2024 9:10:16 AM
5192,41,2677,2,1.0,1/25/2024 9:10:16 AM
5193,41,2677,3,0.996,1/25/2024 9:10:16 AM
5194,41,2678,1,2.0,1/25/2024 9:10:16 AM
5195,41,2678,2,1.0,1/25/2024 9:10:16 AM
5196,41,2678,3,0.996,1/25/2024 9:10:16 AM
5197,41,2679,1,2.0,1/25/2024 9:10:16 AM
5198,41,2679,2,1.0,1/25/2024 9:10:16 AM
5199,41,2679,4,1.0,1/25/2024 9:10:16 AM
5200,41,2679,3,0.996,1/25/2024 9:10:16 AM
5204,41,2682,1,3.0,1/25/2024 9:10:16 AM
5205,41,2682,3,1.0,1/25/2024 9:10:16 AM
5206,41,2682,4,1.0,1/25/2024 9:10:16 AM
5207,41,2683,1,3.0,1/25/2024 9:10:16 AM
5208,41,2684,1,2.0,1/25/2024 9:10:16 AM
5209,41,2684,2,1.0,1/25/2024 9:10:16 AM
5210,41,2684,3,0.996,1/25/2024 9:10:16 AM
5212,41,2686,1,3.0,1/25/2024 9:10:16 AM
5213,41,2686,4,1.0,1/25/2024 9:10:16 AM
5214,41,2686,3,1.0,1/25/2024 9:10:16 AM
5215,41,2687,1,4.0,1/25/2024 9:10:16 AM
5216,41,2687,3,0.997,1/25/2024 9:10:16 AM
5217,41,2688,1,1.0,1/25/2024 9:10:16 AM
