id,run_id,journal_id,ISSN,last_updated_date
610,41,377,0017467X,1/24/2024 5:40:36 PM
611,41,377,17456584,1/24/2024 5:40:36 PM
614,41,379,19422466,1/24/2024 5:40:36 PM
615,41,380,14710358,1/24/2024 5:40:36 PM
616,41,380,14710366,1/24/2024 5:40:36 PM
617,41,381,0021857X,1/24/2024 5:40:36 PM
618,41,381,14779552,1/24/2024 5:40:36 PM
619,41,382,00218790,1/24/2024 5:40:36 PM
620,41,382,13652656,1/24/2024 5:40:36 PM
621,41,383,00218901,1/24/2024 5:40:36 PM
622,41,383,13652664,1/24/2024 5:40:36 PM
623,41,384,09500804,1/24/2024 5:40:36 PM
624,41,384,14676419,1/24/2024 5:40:36 PM
625,41,385,2169897X,1/24/2024 5:40:36 PM
626,41,385,21698996,1/24/2024 5:40:36 PM
627,41,386,21698953,1/24/2024 5:40:36 PM
628,41,386,21698961,1/24/2024 5:40:36 PM
629,41,387,00221821,1/24/2024 5:40:36 PM
630,41,387,14676451,1/24/2024 5:40:36 PM
631,41,388,00224367,1/24/2024 5:40:36 PM
632,41,388,15396975,1/24/2024 5:40:36 PM
633,41,389,0890765X,1/24/2024 5:40:36 PM
634,41,389,17480361,1/24/2024 5:40:36 PM
635,41,390,00333352,1/24/2024 5:40:36 PM
636,41,390,15406210,1/24/2024 5:40:36 PM
637,41,391,13636669,1/24/2024 5:40:36 PM
638,41,391,14679361,1/24/2024 5:40:36 PM
639,41,392,00346586,1/24/2024 5:40:36 PM
640,41,392,14754991,1/24/2024 5:40:36 PM
643,41,394,01297619,1/24/2024 5:40:36 PM
644,41,394,14679493,1/24/2024 5:40:36 PM
645,41,395,00380199,1/24/2024 5:40:36 PM
646,41,395,14679523,1/24/2024 5:40:36 PM
647,41,396,02660032,1/24/2024 5:40:36 PM
648,41,396,14752743,1/24/2024 5:40:36 PM
649,41,397,18651674,1/24/2024 5:40:36 PM
650,41,397,18651682,1/24/2024 5:40:36 PM
651,41,398,00431397,1/24/2024 5:40:36 PM
652,41,398,19447973,1/24/2024 5:40:36 PM
654,41,400,2615787X,1/24/2024 5:40:36 PM
655,41,400,2615790X,1/24/2024 5:40:36 PM
656,41,401,15945685,1/24/2024 5:40:36 PM
657,41,401,26111128,1/24/2024 5:40:36 PM
658,41,402,0104530X,1/24/2024 5:40:36 PM
659,41,402,18069649,1/24/2024 5:40:36 PM
662,41,405,25888064,1/24/2024 5:40:36 PM
663,41,405,25888072,1/24/2024 5:40:36 PM
664,41,406,15734234,1/24/2024 5:40:36 PM
665,41,406,9789004314139,1/24/2024 5:40:36 PM
666,41,407,17498848,1/24/2024 5:40:36 PM
667,41,408,00157546,1/24/2024 5:40:36 PM
669,41,410,11818700,1/24/2024 5:40:36 PM
673,41,413,17351472,1/24/2024 5:40:36 PM
674,41,413,17352630,1/24/2024 5:40:36 PM
675,41,414,10525165,1/24/2024 5:40:36 PM
678,41,416,15451151,1/24/2024 5:40:36 PM
679,41,416,21665435,1/24/2024 5:40:36 PM
680,41,417,18696945,1/24/2024 5:40:36 PM
683,41,419,2071789X,1/24/2024 5:40:36 PM
684,41,419,23063459,1/24/2024 5:40:36 PM
686,41,421,13160354,1/24/2024 5:40:36 PM
687,41,422,22388869,1/24/2024 5:40:36 PM
690,41,425,10026819,1/24/2024 5:40:36 PM
691,41,426,10001298,1/24/2024 5:40:36 PM
699,41,431,00317454,1/24/2024 5:40:36 PM
700,41,432,10685502,1/24/2024 5:40:36 PM
701,41,433,14655489,1/24/2024 5:40:36 PM
702,41,434,16807316,1/24/2024 5:40:36 PM
703,41,434,16807324,1/24/2024 5:40:36 PM
704,41,435,17264170,1/24/2024 5:40:36 PM
705,41,435,17264189,1/24/2024 5:40:36 PM
706,41,436,18663508,1/24/2024 5:40:36 PM
707,41,436,18663516,1/24/2024 5:40:36 PM
708,41,437,10275606,1/24/2024 5:40:36 PM
709,41,437,16077938,1/24/2024 5:40:36 PM
712,41,439,01228706,1/24/2024 5:40:36 PM
713,41,439,25005308,1/24/2024 5:40:36 PM
716,41,441,18360939,1/24/2024 5:40:36 PM
717,41,441,18365787,1/24/2024 5:40:36 PM
718,41,442,18360947,1/24/2024 5:40:36 PM
719,41,442,18365795,1/24/2024 5:40:36 PM
720,41,443,10369872,1/24/2024 5:40:36 PM
721,41,444,1838675X,1/24/2024 5:40:36 PM
